Fecha,Periodo,Monto
16/07/2003,888,10.4079
17/07/2003,889,10.349
18/07/2003,890,10.36
21/07/2003,891,10.4105
22/07/2003,892,10.4362
23/07/2003,893,10.516
24/07/2003,894,10.5203
25/07/2003,895,10.5095
28/07/2003,896,10.4645
29/07/2003,897,10.4878
30/07/2003,898,10.487
31/07/2003,899,10.5243
01/08/2003,900,10.5997
04/08/2003,901,10.5864
05/08/2003,902,10.7117
06/08/2003,903,10.7058
07/08/2003,904,10.7001
08/08/2003,905,10.6623
11/08/2003,906,10.6909
12/08/2003,907,10.7448
13/08/2003,908,10.7562
14/08/2003,909,10.6961
15/08/2003,910,10.7273
18/08/2003,911,10.723
19/08/2003,912,10.8007
20/08/2003,913,10.8379
21/08/2003,914,10.8507
22/08/2003,915,10.8615
25/08/2003,916,10.8753
26/08/2003,917,10.9118
27/08/2003,918,10.9337
28/08/2003,919,10.9806
29/08/2003,920,11.0475
01/09/2003,921,11.046
02/09/2003,922,11.0313
03/09/2003,923,10.9386
04/09/2003,924,10.8575
05/09/2003,925,10.862
08/09/2003,926,10.9185
09/09/2003,927,11.0233
10/09/2003,928,10.9502
11/09/2003,929,10.9737
12/09/2003,930,10.9793
15/09/2003,931,10.9713
17/09/2003,932,10.9054
18/09/2003,933,10.9163
19/09/2003,934,10.8955
22/09/2003,935,10.8275
23/09/2003,936,10.7741
24/09/2003,937,10.7975
25/09/2003,938,10.8115
26/09/2003,939,10.9272
29/09/2003,940,11.0446
30/09/2003,941,11.0133
01/10/2003,942,10.9614
02/10/2003,943,11.1603
03/10/2003,944,11.2473
06/10/2003,945,11.2193
07/10/2003,946,11.2923
08/10/2003,947,11.249
09/10/2003,948,11.2356
10/10/2003,949,11.1946
13/10/2003,950,11.1853
14/10/2003,951,11.2347
15/10/2003,952,11.1785
16/10/2003,953,11.2472
17/10/2003,954,11.2802
20/10/2003,955,11.1748
21/10/2003,956,11.1397
22/10/2003,957,11.2178
23/10/2003,958,11.181
24/10/2003,959,11.1784
27/10/2003,960,11.1068
28/10/2003,961,11.0693
29/10/2003,962,11.1078
30/10/2003,963,11.1058
31/10/2003,964,11.0525
03/11/2003,965,10.9881
04/11/2003,966,10.9998
05/11/2003,967,10.9829
06/11/2003,968,10.9903
07/11/2003,969,10.9688
10/11/2003,970,11.0097
11/11/2003,971,10.9582
12/11/2003,972,11.0582
13/11/2003,973,11.1757
14/11/2003,974,11.1442
17/11/2003,975,11.1823
18/11/2003,976,11.1643
19/11/2003,977,11.2094
21/11/2003,978,11.2058
24/11/2003,979,11.2879
25/11/2003,980,11.3398
26/11/2003,981,11.3522
27/11/2003,982,11.3385
28/11/2003,983,11.3985
01/12/2003,984,11.3783
02/12/2003,985,11.3535
03/12/2003,986,11.2496
04/12/2003,987,11.2224
05/12/2003,988,11.1959
08/12/2003,989,11.2391
09/12/2003,990,11.1635
10/12/2003,991,11.2145
11/12/2003,992,11.1877
15/12/2003,993,11.2728
16/12/2003,994,11.3061
17/12/2003,995,11.2676
18/12/2003,996,11.2193
19/12/2003,997,11.2295
22/12/2003,998,11.2855
23/12/2003,999,11.2696
24/12/2003,1000,11.2744
26/12/2003,1001,11.218
29/12/2003,1002,11.236
